nb_drones: 30

# ── HUBS ──
hub: start_Theodor_Heuss_Stra_e 51124 544848 [color=blue max_drones=5]
hub: Theodor_Heuss_Stra_e 51126 544847 [zone=normal color=blue max_drones=5]
hub: Theodor_Heuss_Stra_e_2 51122 544850 [zone=normal color=blue max_drones=5]
hub: Leingartener_Stra_e 51102 544844 [zone=normal color=blue max_drones=2]
hub: Schaeuffelenstra_e 51614 544511 [zone=normal color=blue max_drones=10]
hub: Schaeuffelenstra_e_2 51599 544523 [zone=normal color=blue max_drones=10]
hub: Theodor_Heuss_Stra_e_3 51120 544872 [zone=normal color=blue max_drones=2]
hub: Theodor_Heuss_Stra_e_4 51116 544868 [zone=normal color=blue max_drones=5]
hub: Neckartalstra_e 51450 544657 [zone=normal color=blue max_drones=10]
hub: Neue_Stra_e 51443 544712 [zone=normal color=blue max_drones=10]
hub: Burenstra_e 51616 544495 [zone=normal color=blue max_drones=10]
hub: Paulinenstra_e 51617 544496 [zone=normal color=blue max_drones=10]
hub: Paulinenstra_e_2 51616 544504 [zone=normal color=blue max_drones=10]
hub: Am_S_lmertor 51615 544494 [zone=normal color=blue max_drones=2]
hub: Saarlandstra_e 51473 544483 [zone=normal color=blue max_drones=10]
hub: Saarlandstra_e_2 51465 544481 [zone=normal color=blue max_drones=10]
hub: Peter_Bruckmann_Br_cke 51513 544491 [zone=normal color=blue max_drones=10]
hub: Kreuzenstra_e 51633 544446 [zone=normal color=blue max_drones=10]
hub: Kreuzenstra_e_2 51634 544446 [zone=normal color=blue max_drones=10]
hub: Kreuzenstra_e_3 51623 544443 [zone=normal color=blue max_drones=2]
hub: K_ferflugstra_e 51628 544463 [zone=normal color=blue max_drones=10]
hub: Schlossstra_e 50839 544160 [zone=normal color=blue max_drones=10]
hub: Schlossstra_e_2 50831 544155 [zone=normal color=blue max_drones=10]
hub: Schlossstra_e_3 50856 544167 [zone=normal color=blue max_drones=10]
hub: Gartachgaustra_e 50842 544170 [zone=normal color=blue max_drones=2]
hub: Schlossstra_e_4 50801 544117 [zone=normal color=blue max_drones=10]
hub: Schlossstra_e_5 50800 544115 [zone=normal color=blue max_drones=10]
hub: Deutschritterstra_e 50818 544127 [zone=normal color=blue max_drones=2]
hub: Schlossstra_e_6 50794 544131 [zone=normal color=blue max_drones=10]
hub: Gartachgaustra_e_2 50843 544172 [zone=normal color=blue max_drones=2]
hub: Gartachgaustra_e_3 50843 544176 [zone=normal color=blue max_drones=2]
hub: Wormser_Stra_e 50833 544172 [zone=normal color=blue max_drones=2]
hub: Im_Kleinfeldle 50853 544177 [zone=normal color=blue max_drones=2]
hub: Gartachgaustra_e_4 50831 544193 [zone=normal color=blue max_drones=2]
hub: Gartachgaustra_e_5 50833 544192 [zone=normal color=blue max_drones=2]
hub: Austra_e 51592 544261 [zone=normal color=blue max_drones=5]
hub: Austra_e_2 51593 544271 [zone=normal color=blue max_drones=5]
hub: Lichtenbergerstra_e 51529 544261 [zone=normal color=blue max_drones=2]
hub: Austra_e_3 51587 544204 [zone=normal color=blue max_drones=5]
hub: Albertistra_e 51525 544293 [zone=normal color=blue max_drones=5]
hub: Albertistra_e_2 51524 544295 [zone=normal color=blue max_drones=5]
hub: Karl_W_st_Stra_e 51530 544290 [zone=normal color=blue max_drones=10]
hub: Albertistra_e_3 51527 544291 [zone=normal color=blue max_drones=10]
hub: Hafenstra_e 51509 544424 [zone=normal color=blue max_drones=5]
hub: Hafenstra_e_2 51503 544467 [zone=normal color=blue max_drones=5]
hub: Hafenstra_e_3 51515 544390 [zone=normal color=blue max_drones=5]
hub: Wohlgelegen 51512 544425 [zone=normal color=blue max_drones=2]
hub: Theresienstra_e 51482 544607 [zone=normal color=blue max_drones=5]
hub: Theresienstra_e_2 51488 544632 [zone=normal color=blue max_drones=5]
hub: Frankfurter_Stra_e 51495 544605 [zone=normal color=blue max_drones=2]
hub: Brackenheimer_Stra_e 51412 544791 [zone=normal color=blue max_drones=10]
hub: Brackenheimer_Stra_e_2 51411 544791 [zone=normal color=blue max_drones=10]
hub: Brackenheimer_Stra_e_3 51409 544777 [zone=normal color=blue max_drones=10]
hub: Brackenheimer_Stra_e_4 51407 544776 [zone=normal color=blue max_drones=10]
hub: Brackenheimer_Stra_e_5 51438 544788 [zone=normal color=blue max_drones=10]
hub: Viehweide 51411 544771 [zone=normal color=blue max_drones=2]
hub: Knorrstra_e 51553 544693 [zone=normal color=blue max_drones=2]
hub: Knorrstra_e_2 51563 544697 [zone=normal color=blue max_drones=2]
hub: Knorrstra_e_3 51538 544687 [zone=normal color=blue max_drones=2]
hub: Besigheimer_Stra_e 51545 544719 [zone=normal color=blue max_drones=2]
hub: Rosenbergstra_e 51559 544672 [zone=normal color=blue max_drones=2]
hub: Sontheimer_Stra_e 51539 544740 [zone=normal color=blue max_drones=10]
hub: Sontheimer_Stra_e_2 51531 544744 [zone=normal color=blue max_drones=10]
hub: Sontheimer_Stra_e_3 51542 544739 [zone=normal color=blue max_drones=10]
hub: Leiblstra_e 51462 544813 [zone=normal color=blue max_drones=2]
hub: Leiblstra_e_2 51461 544811 [zone=normal color=blue max_drones=2]
hub: Leiblstra_e_3 51464 544816 [zone=normal color=blue max_drones=2]
hub: Kreuz_ckerstra_e 51485 544799 [zone=normal color=blue max_drones=2]
hub: Arnoldstra_e 51448 544819 [zone=normal color=blue max_drones=2]
hub: Mauerstra_e 51458 544805 [zone=normal color=blue max_drones=2]
hub: Arnoldstra_e_2 51451 544822 [zone=normal color=blue max_drones=2]
hub: Arnoldstra_e_3 51452 544824 [zone=normal color=blue max_drones=2]
hub: Uhdestra_e 51444 544826 [zone=normal color=blue max_drones=2]
hub: Spitzwegstra_e 51438 544829 [zone=normal color=blue max_drones=2]
hub: Spitzwegstra_e_2 51442 544836 [zone=normal color=blue max_drones=2]
hub: Spitzwegstra_e_3 51433 544821 [zone=normal color=blue max_drones=2]
hub: Haberkornstra_e 51425 544837 [zone=normal color=blue max_drones=2]
hub: Spitzwegstra_e_4 51428 544813 [zone=normal color=blue max_drones=2]
hub: Haberkornstra_e_2 51420 544829 [zone=normal color=blue max_drones=2]
hub: Mauerstra_e_2 51439 544817 [zone=normal color=blue max_drones=2]
hub: Kolpingstra_e 51426 544809 [zone=normal color=blue max_drones=2]
hub: Kolpingstra_e_2 51418 544816 [zone=normal color=blue max_drones=2]
hub: Kolpingstra_e_3 51444 544793 [zone=normal color=blue max_drones=10]
hub: Austra_e_4 51596 544294 [zone=normal color=blue max_drones=10]
hub: Austra_e_5 51596 544295 [zone=normal color=blue max_drones=10]
hub: Karl_W_st_Stra_e_2 51592 544293 [zone=normal color=blue max_drones=10]
hub: Austra_e_6 51595 544291 [zone=normal color=blue max_drones=5]
hub: Austra_e_7 51594 544275 [zone=normal color=blue max_drones=5]
hub: Austra_e_8 51594 544280 [zone=normal color=blue max_drones=5]
hub: R_telstra_e 51598 544275 [zone=normal color=blue max_drones=2]
hub: Imlinstra_e 51577 544325 [zone=normal color=blue max_drones=2]
hub: Salzgrundstra_e 51561 544324 [zone=normal color=blue max_drones=2]
hub: Salzstra_e 51579 544291 [zone=normal color=blue max_drones=10]
hub: Austra_e_9 51598 544327 [zone=normal color=blue max_drones=5]
hub: Salzstra_e_2 51572 544354 [zone=normal color=blue max_drones=2]
hub: Salzstra_e_3 51571 544397 [zone=normal color=blue max_drones=2]
hub: Br_ggemannstra_e 51591 544401 [zone=normal color=blue max_drones=2]
hub: Salzstra_e_4 51569 544371 [zone=normal color=blue max_drones=2]
hub: Salzstra_e_5 51573 544413 [zone=normal color=blue max_drones=2]
hub: Br_ggemannstra_e_2 51607 544404 [zone=normal color=blue max_drones=5]
hub: Br_ggemannstra_e_3 51599 544402 [zone=normal color=blue max_drones=5]
hub: Christophstra_e 51626 544410 [zone=normal color=blue max_drones=2]
hub: Neckarsulmer_Stra_e 51643 544417 [zone=normal color=blue max_drones=10]
hub: Binswanger_Stra_e 51643 544418 [zone=normal color=blue max_drones=10]
hub: Industriebr_cke 51640 544416 [zone=normal color=blue max_drones=5]
hub: Kreuzenstra_e_4 51618 544460 [zone=normal color=blue max_drones=2]
hub: Kreuzenstra_e_5 51628 544423 [zone=normal color=blue max_drones=2]
hub: Industrieplatz 51581 544454 [zone=normal color=blue max_drones=2]
hub: Industrieplatz_2 51581 544455 [zone=normal color=blue max_drones=2]
hub: Salzstra_e_6 51580 544451 [zone=normal color=blue max_drones=2]
hub: Gottlieb_Daimler_Stra_e 51563 544446 [zone=normal color=blue max_drones=2]
hub: Salzstra_e_7 51573 544415 [zone=normal color=blue max_drones=2]
hub: Gottlieb_Daimler_Stra_e_2 51554 544471 [zone=normal color=blue max_drones=2]
hub: Gottlieb_Daimler_Stra_e_3 51572 544414 [zone=normal color=blue max_drones=2]
hub: Frankfurter_Stra_e_2 51499 544605 [zone=normal color=blue max_drones=2]
hub: Bahnhofstra_e 51518 544593 [zone=normal color=blue max_drones=2]
hub: Frankfurter_Stra_e_3 51518 544605 [zone=normal color=blue max_drones=2]
hub: Frankfurter_Stra_e_4 51512 544605 [zone=normal color=blue max_drones=2]
hub: Weststra_e 51518 544618 [zone=normal color=blue max_drones=2]
hub: Mozartstra_e 51527 544606 [zone=normal color=blue max_drones=2]
hub: Frankfurter_Stra_e_5 51555 544603 [zone=normal color=blue max_drones=2]
hub: Badstra_e 51558 544617 [zone=normal color=blue max_drones=2]
hub: Frankfurter_Stra_e_6 51541 544606 [zone=normal color=blue max_drones=2]
hub: Frankfurter_Stra_e_7 51561 544594 [zone=normal color=blue max_drones=2]
hub: Charlottenstra_e 51579 544824 [zone=normal color=blue max_drones=5]
hub: Max_Planck_Stra_e 51578 544829 [zone=normal color=blue max_drones=5]
hub: Charlottenstra_e_2 51586 544795 [zone=normal color=blue max_drones=5]
hub: Happelstra_e 51595 544707 [zone=normal color=blue max_drones=10]
hub: Happelstra_e_2 51603 544706 [zone=normal color=blue max_drones=10]
hub: Urbanstra_e 51605 544703 [zone=normal color=blue max_drones=10]
hub: Urbanstra_e_2 51606 544694 [zone=normal color=blue max_drones=10]
hub: Urbanstra_e_3 51608 544681 [zone=normal color=blue max_drones=10]
hub: Urbanstra_e_4 51608 544680 [zone=normal color=blue max_drones=10]
hub: S_dstra_e 51616 544682 [zone=normal color=blue max_drones=10]
hub: Neue_Stra_e_2 51439 544716 [zone=normal color=blue max_drones=2]
hub: Neckartalstra_e_2 51442 544716 [zone=normal color=blue max_drones=10]
hub: Neue_Stra_e_3 51430 544716 [zone=normal color=blue max_drones=2]
hub: Neckartalstra_e_3 51449 544673 [zone=normal color=blue max_drones=10]
hub: Neckartalstra_e_4 51417 544791 [zone=normal color=blue max_drones=10]
hub: Neue_Stra_e_4 51415 544712 [zone=normal color=blue max_drones=2]
hub: Neue_Stra_e_5 51412 544710 [zone=normal color=blue max_drones=2]
hub: Neue_Stra_e_6 51417 544713 [zone=normal color=blue max_drones=2]
hub: Dorfplatz 51404 544706 [zone=normal color=blue max_drones=2]
hub: Bauernstra_e 51416 544708 [zone=normal color=blue max_drones=2]
hub: Dorfplatz_2 51404 544702 [zone=normal color=blue max_drones=2]
hub: Seestra_e 51402 544711 [zone=normal color=blue max_drones=2]
hub: Klingenberger_Stra_e 51390 544708 [zone=normal color=blue max_drones=2]
